cep,logradouro,bairro
08375001,Avenida Ragueb Chohfi,Jardim Três Marias
02815000,Rua João Amado Coutinho,Conjunto Residencial Elisio Teixeira Leite
04571050,Rua Surubim,Cidade Monções
03907050,Rua Felipe Aureli,Conjunto Habitacional Barreira Grande
01455080,Praça Germânia,Jardim Europa
03631040,Rua Ciro Lafemina,Guaiaúna
05329020,Rua Monte Verde,Jaguaré
04851001,Praça Francisco Pinto Guedes,Jardim Edi
03694070,Rua Nelson Tartuce,Parque das Paineiras
04281040,Rua Itacoarati,Vila Nair
08471200,Avenida Luiz José Costa-Leandro,Cidade Tiradentes
05834030,Rua Celso Magalhães,Parque Santo Antônio
05734130,Rua Domingos Ataide,Parque Reboucas
05429010,Rua Nicolau Gagliardi,Pinheiros
05868680,Rua Domingos Peixoto da Silva,Conjunto Habitacional Instituto Adventista
05519000,Rua Garcia Lorca,Jardim Trussardi
03612020,Rua Siuci,Vila Laís
02169270,Rua Principal,Parque Vila Maria
04244000,Estrada das Lágrimas,São João Clímaco
05880340,Rua Padre Domingos Cunha,Parque Independência
02966030,Rua Goulart de Oliveira,Vila Yara
04161100,Rua Márcia Regina,Vila Brasilina
03153000,Avenida Doutor Francisco Mesquita,Jardim Ibitirama
50850060,Rua General Souza Doca,Afogados
04788030,Rua Santana do Parnaíba,Interlagos
04692010,Rua Ubatu Mirim,Vila Gea
02976010,Rua Professor Aldo Locatelli,Vila Zat
03721040,Rua Rocha Fraga,Cangaíba
02811000,Avenida Tomás Rabelo e Silva,Jardim Monte Alegre (Zona Norte)
04382030,Rua Freamunde,Conjunto Residencial Jardim Canaã
05894460,Rua Teo Cabral,Jardim Macedônia
02751000,Rua Antônio Ribeiro de Morais,Vila Carbone
05783090,Rua Isidoro Larraia,Parque Flamengo
02614060,Rua dos Arvoredos,Vila Nova Cachoeirinha
05840070,Rua Luís Gaeta,Vila das Belezas
03737000,Rua Jardim das Margaridas,Vila Buenos Aires
05461020,Praça Beethoven,Alto de Pinheiros
02751020,Rua Cruzete,Vila Carbone
04691050,Rua Aristeu Dias Leme,Vila Gea
03273040,Travessa Floriano Balcarce,Vila Santa Clara
05046030,Rua Baré,Vila Romana
02176030,Rua Segundo-Sargento Assad Feres,Parque Novo Mundo
02169020,Rua Arenápolis,Jardim Andaraí
04241020,Rua Luís Abbondanza,São João Clímaco
02912080,Rua Olímpio Tomás Fernandes,Piqueri
05319020,Rua Blumenau,Vila Leopoldina
02996000,Rua Antônio de Cabezon,Parque Nações Unidas
03616120,Rua Francisco Jacinto,Vila Feliz
01404901,Alameda Campinas 433,Jardim Paulista
04610001,Rua Zacarias de Gois,Parque Colonial
01240000,Rua Maranhão,Higienópolis
05881230,Rua Mãe Maria,Jardim São Bento Novo
03441000,Rua Zambeze,Vila Carrão
08310565,Avenida Roberto Pires Maciel,Jardim Vera Cruz(Zona Leste)
02034001,Rua Ezequiel Freire,Santana
08382545,Rua do Jequitibá-Branco,Jardim Arantes
08240150,Rua Bento Vieira de Castro,Vila Santana
08473603,Rua Alexandre Davidenko,Conjunto Habitacional Barro Branco II
05282040,Rua Clara Nunes,Residencial Sol Nascente
01127000,Rua Newton Prado,Bom Retiro
08240075,Rua Roque Polidoro,Jardim Liderança
04330901,Avenida Francisco de Paula Quintanilha Ribeiro 134,Vila Campestre
08041525,Rua Cardon,Vila Progresso (Zona Leste)
08330095,Avenida Sapopemba,Jardim Vera Cruz(Zona Leste)
04035000,Rua Domingos de Morais,Vila Mariana
02411000,Avenida Daniel Malettini,Vila Aurora (Zona Norte)
04607002,Rua Antônio de Macedo Soares,Campo Belo
04940090,Rua Ariovaldo Rodrigues Ramalho,Vila Santa Lúcia
03476010,Avenida Inconfidência Mineira,Vila Antonieta
08031765,Travessa Francisco de Paula Conceição Júnior,Vila Curuçá
08050572,Rua Córrego do Limoeiro,Jardim das Camélias
04043250,Rua Luís Góis,Mirandópolis
04247000,Via Anchieta,Vila Heliópolis
04844240,Rua José Flaviano Costa,Jardim Icaraí
03679100,Praça Regina Veiga,Vila São Francisco (Zona Leste)
04545040,Rua Santa Justina,Vila Olímpia
05416010,Rua Fradique Coutinho,Pinheiros
01332000,Rua Itapeva,Bela Vista
03013010,Rua Mendes Júnior,Brás
03658080,Rua Doutor Bernardino Ribeiro,Vila Ré
03888040,Rua Aracatiaçu,Jardim Cotinha
08343150,Travessa Sede dos Marujos,Jardim da Conquista (Zona Leste)
05095030,Rua São Tito,Vila Anastácio
02736060,Rua Padre Gualberto Lima,Parque Monteiro Soares
03176090,Rua Doutor Ernesto Moreira,Mooca
04926010,Rua Alecrim,Riviera Paulista
03225040,Avenida Secondino,Jardim Independência
02124000,Avenida das Cerejeiras,Jardim Japão
01452002,Avenida Brigadeiro Faria Lima,Jardim Paulistano
02855080,Rua Raimundo Carneiro,Jardim Carombé
02022050,Rua Heliodora,Santana
05875350,Rua Paolo Porpora,Parque Independência
05836300,Rua Maurício Pacheco Tavares,Jardim Monte Azul
02464030,Rua São Norberto,Imirim
04855000,Rua Alziro Pinheiro Magalhães,Parque São Miguel
02935110,Praça Baltazar de Godoy,Vila Bonilha
04630001,Rua Tamoios,Jardim Aeroporto
03209020,Rua Itaira,Vila Alpina
04538001,Rua Professor Atílio Innocenti,Vila Nova Conceição
08223220,Rua Tubiba,Cidade Antônio Estevão de Carvalho
04402220,Rua Melquíades,Vila Marari
05338000,Avenida General Mac Arthur,Vila Lageado
03685000,Rua Sonho Gaúcho,Jardim São Nicolau
02850105,Avenida Deputado Cantídio Sampaio,Parque Belém
03404130,Rua Maracatuba,Chácara Califórnia
08465120,Rua Fernandez Palero,Conjunto Habitacional Juscelino Kubitschek
02303100,Rua Domingos Calheiros,Tucuruvi
05530040,Rua Sisenando Gomes,Instituto de Previdência
02354020,Rua César Augusto da Silva,Parque Casa de Pedra
04811000,Rua Juan Gonzales Vila,Vila Santo Antônio
05520100,Avenida Professor Francisco Morato,Vila Sônia
03558010,Rua Cavalcanti de Albuquerque,Vila Nhocune
04374000,Rua Franklin Magalhães,Vila Santa Catarina
04183020,Rua Giuseppe Bibiena,Jardim Santa Emília
03152070,Rua São Luís do Paraitinga,Quinta da Paineira
04553012,Avenida dos Bandeirantes,Vila Olímpia
05207070,Rua Francisco Araújo Correa,Vila Caiúba
05339010,Rua Júlio Pinotti,Vila São Francisco
04912100,Avenida Itália,Guarapiranga
08255490,Rua Giácomo Quirino,Conjunto Residencial José Bonifácio
05002030,Rua Melo Palheta,Água Branca
03659060,Rua Manuel de Barros Loureiro,Vila Granada
02873220,Passagem Natália Martel,Conjunto Promorar Estrada da Parada
01408001,Alameda Casa Branca,Jardim Paulista
04859100,Rua Júlia Mameia,Jardim Santa Fé (Zona Sul)
04608003,Rua Conde de Porto Alegre,Campo Belo
03516020,Rua Engenheiro André Paulo,Vila Matilde
03817125,Rua Brusque,Parque Císper
02543150,Rua Doutor Almeida Nobre,Vila Celeste
01310930,Avenida Paulista 2100,Bela Vista
02808060,Rua Editor Arnaldo Magalhães de Giácomo,Sítio Morro Grande
05007032,Rua Minerva,Perdizes
02981000,Rua Miracema do Norte,Jardim Sydney
03162080,Rua Hipias,Mooca
02543160,Rua Nélio Fachada de Paiva,Vila Celeste
05510020,Rua M.M.D.C.,Butantã
02846100,Rua João Izidori,Vila Itaberaba
03756150,Rua Antônio de Albuquerque,Jardim Gonzaga
03106010,Rua Dona Ana Neri,Mooca
01504001,Rua Vergueiro,Liberdade
08285330,Rua Diogo de Sousa,Cidade Líder
02252060,Rua Serinhaém,Vila Nivi
05010040,Rua Desembargador do Vale,Perdizes
04856300,Rua Gloriosa,Jardim Novo Horizonte
05316900,Avenida Doutor Gastão Vidigal 1946,Vila Leopoldina
08141100,Rua Pontal do Rio Pardo,Jardim Eva
23081130,Rua Salomão José Audi,Campo Grande
02935000,Rua Armando Cardoso de Melo,Vila Bonilha
01425060,Travessa Maestro Brumel,Jardim Paulista
03806030,Rua Tomás Santa Rosa,Vila Paranaguá
04324050,Rua José Veríssimo da Costa Pereira,Vila do Encontro
05858004,Estrada de Itapecerica,Jardim Dom José
04547010,Rua Guaraniúva,Vila Olímpia
04117110,Rua Dionísio da Costa,Vila Mariana
04615050,Rua Rafael Iório,Campo Belo
08343400,Travessa Samba da Rosa,Jardim da Conquista (Zona Leste)
04556500,Avenida Santo Amaro,Brooklin Paulista
03907080,Rua Henrique Matras,Conjunto Habitacional Barreira Grande
04085002,Avenida dos Imarés,Indianópolis
08161010,Rua Folha Prateada,Jardim dos Ipês
08180630,Rua Beija-flor,Jardim Pantanal
02242000,Avenida General Ataliba Leonel,Parada Inglesa
03014000,Avenida Celso Garcia,Brás
02613010,Rua Macuxis,Vila Nova Cachoeirinha
08340040,Rua Forte de Santos,Jardim Ricardo
04545070,Rua Edson de Castro Pinto,Vila Olímpia
03976100,Rua Severino Suzano,Jardim Sapopemba
03275120,Rua Waldomiro Pedroso,Vila Ema
04457000,Rua Orestes Barbosa,Jardim Palmares (Zona Sul)
03715060,Rua Professor Geraldo Passarelli,Jardim de Lorenzo
02356003,Via de Pedestre Alessandro Busi,Jardim Virginia Bianca
02418130,Rua Sargento Advíncola,Parque Mandaqui
05121040,Rua João Moreira,Parque São Domingos
33110000,Avenida Vicente Lovalho,Conjunto Cristina (São Benedito)
03533000,Avenida Waldemar Carlos Pereira,Vila Talarico
01408030,Rua Presidente Prudente,Jardim Paulista
03442080,Praça Diogo Segobia Perez Martinez,Chácara Califórnia
08452540,Rua Cabo das Tormentas,Jardim Lourdes
08120100,Rua Cachoeira Alta,Itaim Paulista
08340080,Rua Forte de Macaé,Jardim Ricardo
04880035,Rua Virgínia Modesto,Recanto Campo Belo
04746000,Rua da Matriz,Santo Amaro
04904120,Rua João Alves de Torres,Jardim das Flores
01134050,Rua Doraci,Bom Retiro
08120620,Rua Rio Daimar,Jardim Virginia
02443040,Avenida Lauzane Paulista,Lauzane Paulista
04426040,Rua Zavuvus,Jardim Miriam
08430120,Rua Miguel da Fonseca,Jardim Santa Terezinha (Zona Leste)
05136110,Rua Frederico Jacobi,Jardim Santo Elias
02466120,Rua Alberto Silva,Imirim
05578040,Rua Miguel Almeida Prado,Instituto de Previdência
04741011,Rua Darwin,Jardim Santo Amaro
05792110,Rua Simone Donatelo,Jardim Leônidas Moreira
08041400,Rua Flora Sousa,Vila Raquel
01244910,Rua Novo Horizonte 78,Higienópolis
05528160,Rua Cândido Augusto Bresser Dores,Jardim Alvorada (Zona Oeste)
04849160,Rua Manuel Plá,Parque Residencial Cocaia
03963110,Rua Padre Gabriel Malagrida,Cidade São Mateus
02266010,Rua Areiópolis,Vila Gustavo
03124090,Rua Maria Luísa de Pinho,Parque da Mooca
08215460,Rua Antônio Gandini,Itaquera
04708001,Rua São Sebastião,Santo Amaro
04916000,Estrada da Riviera,Jardim Figueira Grande
05014010,Rua Estevão de Almeida,Perdizes
04083001,Avenida Moaci,Planalto Paulista
04131040,Rua Almeida Góis,Vila Gumercindo
05271160,Rua Floriano Alves da Costa,Jardim Santa Fé (Zona Oeste)
08382180,Rua da Independência,Recanto Verde do Sol
04893150,Rua do Contorno,Parque Lagoa Rica
08143220,Rua Rafael Galvão,Jardim Miriam
04508011,Rua Professor Filadelfo Azevedo,Vila Nova Conceição
04890395,Rua Jovina Klein Reimberg,Parelheiros
05814200,Rua Pinhal Velho,Jardim Ibirapuera
01304001,Rua Augusta,Consolação
04412160,Rua Maria de Rohan,Americanópolis
04110000,Rua Carlos Petit,Vila Mariana
01310921,Avenida Paulista 1776,Bela Vista
01044908,Rua Sete de Abril 386,Centro
02208190,Travessa São Camilo,Vila São Camilo
03986170,Rua Pedro Gonçalves Varejão,Jardim Mimar
04837150,Rua São Roque do Paraguaçu,Vila Quintana
03566000,Rua Maciel Monteiro,Vila Santa Teresa (Zona Leste)
08450050,Rua Belmiro Valverde,Lajeado
03563170,Avenida Benedito Salgado da Silva,Vila Nhocune
04753080,Rua Engenheiro Francisco Pitta Brito,Jardim Promissão
04505000,Avenida Santo Amaro,Vila Nova Conceição
03807230,Alameda Rodrigo de Brum,Vila Paranaguá
01416001,Rua da Consolação,Cerqueira César
08072085,Travessa Rio Maracá,União de Vila Nova
03255000,Rua José Antônio Fontes,Vila Tolstoi
05776430,Rua José Pereira Bueno,Vila Franca
03716180,Rua Capeúna,Jardim Piratininga
08040190,Rua Antônio Canova,Cidade São Miguel
03239130,Rua Nicola Pisano,Parque São Lucas
05050060,Praça Cívica,Lapa
03244030,Rua Erva Imperial,Jardim Guairaca
04531040,Rua Anacetuba,Itaim Bibi
02832220,Rua Pinto Carvalho,Parque São Luís
05503000,Avenida Vital Brasil,Butantã
05007000,Rua Doutor Homem de Melo,Perdizes
47950000,,
04363010,Rua Lamelas,Vila Mascote
04626000,Avenida Washington Luís,Santo Amaro
08032210,Rua Evocação Sertaneja,Jardim Santo Antônio
04231000,Rua Almirante Nunes,Cidade Nova Heliópolis
05846200,Rua Bonifácio Ruiz,Conjunto Promorar São Luis
03729150,Rua José da Penha,Jardim Danfer
02325520,Rua Panorama,Jardim Apuana
03758110,Rua Abel Moreira,Jardim Danfer
08421270,Rua Ivon Curi,Conjunto Habitacional Fazenda do Carmo
04714010,Rua Francisco de Morais,Chácara Santo Antônio (Zona Sul)
04162100,Rua Vicente Pisani,Vila Moraes
02912000,Rua Coronel Bento Bicudo,Piqueri
05881070,Rua Diogo Muleiro,Jardim São Bento Novo
01120001,Rua José Paulino,Bom Retiro
03337075,Rua Antônio Daminello,Jardim Anália Franco
03178200,Rua Joá,Alto da Mooca
04918050,Rua Domingos Irala,Jardim Santa Gertrudes
03475020,Rua Fartura,Vila Antonieta
03278070,Rua Capitão Venceslau Japiassu Aragão,Vila Ema
08390260,Rua Capitão-mor Lázaro da Costa,Jardim São Francisco
03960020,Rua João Marcelino Arroyo,Cidade São Mateus
04256230,Rua Aristides Bocci,Jardim Patente Novo
03552010,Praça Araruva,Cidade Patriarca
08230540,Rua Doutor Aiose,Vila Verde
08285130,Rua Médio Iguaçu,Cidade Líder
04763001,Rua Augusto Ferreira de Morais,Socorro
05664030,Avenida Hebe Camargo,Paraisópolis
08330053,Rua Feira de Pilatos,Jardim Vera Cruz(Zona Leste)
03425030,Rua Pirambóia,Vila Carrão
04841150,Avenida Rosália Iannini Conde,Parque América
04829120,Rua Quinta da Aguieira,Jardim Bonito
04671215,Rua Hussain Youssef Saab,Vila Sofia
05892490,Rua Renato Birolli,Jardim Amália
05606300,Avenida Morumbi,Morumbi
04022002,Rua Estado de Israel,Vila Clementino
08255350,Rua Domenico Alfani,Conjunto Residencial José Bonifácio
04559011,Rua Geórgia,Brooklin Paulista
05563080,Rua Anésio João da Silva,Jardim Raposo Tavares
02722140,Rua José Kileber,Vila Siqueira (Zona Norte)
02406000,Rua Dona Luiza Tolle,Santana
04155050,Rua Doutor Carneiro Maia,Vila Água Funda
05141000,Rua Doutor João Batista Bernardes de Lima,Chácara Inglesa
02175010,Rua Dona Maria Quedas,Jardim Andaraí
02521020,Rua Maria Setúbal,Casa Verde Média
08295305,Rua Lagoa Tai Grande,Itaquera
08253050,Rua Ângelo Andrade,Conjunto Residencial José Bonifácio
08471580,Rua Etore Tommasini,Cidade Tiradentes
02511000,Avenida Braz Leme,Casa Verde
03639050,Rua Padre Bernardino Bandeira,Penha de França
01154050,Rua Camarajibe,Barra Funda
03427070,Rua Boicininga,Vila Carrão
02263070,Rua Professor Ubaldo de Maio,Vila Nova Carolina
08141510,Rua Morerê,Jardim Camargo Novo
04252010,Rua Itaituba,Sacomã
08431750,Rua Alto Paraíso de Goiás,Jardim Irene
08245130,Rua Castelândia,Vila Progresso (Zona Leste)
08340000,Avenida Ragueb Chohfi,Parque São Lourenço
03405100,Rua Doutor Luís Carlos,Chácara Califórnia
04236280,Rua Jambo de Heliópolis,Cidade Nova Heliópolis
04015040,Rua Alice de Castro,Vila Mariana
02736000,Rua Tomás Ramos Jordão,Parque Monteiro Soares
04168000,Rua Marite,Vila Moraes
08410110,Rua Buerarema,Vila Lourdes
04550004,Rua Alvorada,Vila Olímpia
05755090,Avenida Anacé,Jardim Umarizal
02730060,Rua Barnabé Coutinho,Vila Albertina
02840140,Rua Joana Ramalho,Parque São Luís
03976190,Rua Everton Resca,Jardim Sapopemba
03646070,Praça São Gervásio,Vila Esperança
01014917,Rua João Brícola 67,Centro
04842090,Rua Carlos Sgarbi Filho,Jardim Castro Alves
02186030,Rua Cabo Oscar Rossini,Parque Novo Mundo
04937170,Rua Doutor José Carneiro Vianna,Vila Bom Jardim
03367050,Rua Alexandre Correia,Vila Formosa
04674230,Rua José Jardim da Silveira,Jardim Taquaral
04939220,Rua Visconde de Jari,Jardim Ângela (Zona Sul)
03278090,Rua Luís Pucci,Vila Ema
02556111,Rua Joaquim Barbosa,Vila Barbosa
02442020,Rua Liestal,Lauzane Paulista
08255520,Rua Miguel Barreda,Conjunto Residencial José Bonifácio
03168020,Rua dos Pássaros,Mooca
04911040,Avenida Morada Nova,Guarapiranga
02765130,Rua Liberato Batista Bueno,Vila Hebe
02726010,Rua Martins Claro,Vila Palmeiras
02866175,Avenida Padre Orlando Garcia da Silveira,Vila Penteado
04016005,Rua França Pinto,Vila Mariana
03256050,Travessa Clélia Freire,Vila Cunha Bueno
04538080,Avenida Horácio Lafer,Itaim Bibi
04658241,Avenida Celso dos Santos,Vila Constança
08255310,Rua Alberto Aparoti,Conjunto Residencial José Bonifácio
05528200,Rua Bartolomeo Bon,Jardim Dracena
08485465,Rua João Cabral de Melo Neto,Conjunto Habitacional Santa Etelvina III
01252090,Rua Miguel Cabrera,Sumaré
04338180,Rua Alfredo Renaldin,Americanópolis
02512030,Rua Zara,Casa Verde
03702050,Rua Alberto Colombero,Jardim Jaú (Zona Leste)
08161040,Rua Rosa-musgo,Jardim Miragaia
05206020,Rua Padre Manuel Campello,Vila Inácio
05388150,Rua Sebastiano Mainardi,Vila Dalva
02350013,Rua Maria Amália Lopes Azevedo,Vila Albertina
04753030,Rua Irmã Antonieta Amoroso,Santo Amaro
01109040,Rua Porto Seguro,Luz
08472400,Rua Igarapé Fartura,Conjunto Habitacional Inácio Monteiro
05847600,Rua Vatinga,Jardim Iracema
05037080,Rua Bonifácio de Andrada,Água Branca
04583115,Rua Evandro Carlos de Andrade,Vila Cordeiro
05419000,Avenida Pedroso de Morais,Pinheiros
02260070,Travessa Soldado Oscar Ribeiro Sampaio,Jaçanã
04821270,Avenida Manuel Alves Soares,Parque Colonial
03623000,Rua Vera,Vila Granada
04531010,Rua Pedroso Alvarenga,Itaim Bibi
05819090,Rua Rômulo Liverani,Jardim Santa Josefina
05448060,Rua Raul Adalberto de Campos,Vila Madalena
01201060,Rua Ana Cintra,Campos Elíseos
03984100,Rua Alba-Coreta,Jardim Planalto
04851706,Rua Beira Rio,Jardim Prainha
03157200,Avenida Salim Farah Maluf,Parque Sevilha
04312090,Rua Paulo César Ferreira,Vila Guarani (Z Sul)
03680040,Rua Boqueirão do Leão,Burgo Paulista
04207020,Rua Almirante Protógenes Guimarães,Ipiranga
02315020,Rua dos Maracujás,Vila Mazzei
03721160,Rua Gil Vila Nova,Cangaíba
08151200,Rua Orminda Pinto,Vila Conceição
04538132,Avenida Brigadeiro Faria Lima,Itaim Bibi
01139080,Praça Iris Meimberg,Parque Industrial Tomas Edson
04376006,Rua Gustavo da Silveira,Vila Santa Catarina
08280265,Travessa Leopoldina Maria de Campos,Cidade Líder
04088006,Alameda dos Jurupis,Indianópolis
03404040,Rua Frei Celso,Chácara Califórnia
04770110,Rua Antônio da Cruz Machado,Jardim Guarapiranga
08430450,Rua Joaquim Miguel Dutra,Jardim Etelvina
02152040,Rua Danúbio Azul,Jardim Guanca
05033002,Rua Guaicurus,Água Branca
05106010,Avenida Domingos de Souza Marques,Parque Anhangüera
04119000,Rua Afonso Celso,Vila Mariana
04545100,Rua Arminda,Vila Olímpia
04851480,Rua Sabiá das Paineiras,Parque Residencial dos Lagos
05535090,Rua Hideo Oshima,Jardim Peri Peri
05513100,Avenida Professor Francisco Morato,Butantã
02550110,Rua Rosa Marchetti,Limão
01019010,Rua das Flores,Sé
04674100,Praça Ossian,Jardim Itapeva
02951030,Rua José Rodrigues da Silva,Vila Nossa Senhora do Retiro
02180020,Rua Soldado José Vicente de Paula,Parque Novo Mundo
03817020,Rua Anísio de Abreu,Parque Císper
08121590,Rua Gaspar de Godói Moreira,Jardim Virginia
04548020,Rua Ponta Delgada,Vila Olímpia
05890150,Rua Raul de Azevedo,Jardim Amália
08090350,Rua Emílio Cardoso Aires,Jardim Helena
03278080,Rua Tomás Bezzi,Vila Ema
03282001,Avenida Vila Ema,Vila Ema
04059060,Alameda dos Indígenas,Planalto Paulista
04760010,Rua Jaime Schunk Branco,Vila Socorro
04284060,Rua Ilíria,Vila Moinho Velho
01329040,Rua dos Belgas,Morro dos Ingleses
01530070,Rua Ágata,Aclimação
05571090,Rua Euclides de Alexandria,Parque Ipê
08245110,Rua Carlos Rosário,Vila Progresso (Zona Leste)
05551020,Rua Doutor Paulo Leite de Oliveira,Jardim Raposo Tavares
02991100,Rua Xavier dos Pássaros,Jardim Rincão
03896000,Rua Ponte Rasa,Jardim Ponte Rasa
01404200,Alameda Campinas,Jardim Paulista
03376100,Rua Mirabela,Chácara Belenzinho
02234001,Rua Carlos dos Santos,Jardim Brasil (Zona Norte)
02610013,Rua Santa Rosa do Sul,Vila dos Andrades
03225030,Rua João Francisco Ultra,Jardim Independência
03405000,Rua Diamante Preto,Chácara Califórnia
04276090,Rua Armitage,Vila Dom Pedro I
04612120,Rua Barão de Suruí,Vila Congonhas
01155070,Rua do Cadete,Barra Funda
04001081,Rua Manuel da Nóbrega,Paraíso
05367030,Rua Laudelino de Abreu,Vila Tiradentes
04146020,Rua Oneyda Alvarenga,Vila da Saúde
04888035,Estrada Ecoturística de Parelheiros,Jardim do Centro
03820145,Travessa Luiz Bottecchia,Vila Sílvia
03480060,Rua Alzira Maruyama,Vila Nova York
01135020,Rua Cônego Vicente Miguel Marino,Barra Funda
03451010,Rua Doutor Antônio Lobo Sobrinho,Parque Maria Luiza
02277160,Praça Memória do Jaçanã,Vila Nilo
05029030,Rua Pedro Soares de Almeida,Vila Anglo Brasileira
02161110,Rua Carlos Calvo,Jardim Julieta
08430440,Rua Manuel Apolinário,Jardim Etelvina
03357040,Praça Barão de Macaúbas,Vila Formosa
04531001,Rua Pedroso Alvarenga,Itaim Bibi
08041100,Rua Fava de Arara,Vila Chavantes
02844090,Rua Guaraíras,Brasilândia
02258300,Rua Aluísio,Vila Constança
02262160,Rua Buracica,Jardim Modelo
02952010,Rua Renato Egídio,Vila Renato (Zona Norte)
04088005,Alameda dos Jurupis,Indianópolis
03917060,Travessa Cícero Mendes,Jardim Porteira Grande
02474030,Praça Antônia Maturano Lago,Vila Roque
01415007,Rua Bela Cintra,Consolação
04627004,Avenida Washington Luís,Santo Amaro
03452000,Avenida Rio das Pedras,Jardim Aricanduva
04751020,Rua Senador José Bonifácio,Santo Amaro
08280530,Rua Guarujá do Sul,Cidade Líder
08382590,Travessa Francisco Manara,Jardim Limoeiro
03943090,Rua Brás Pires,Jardim Tietê
03071020,Rua Garça,Tatuapé
03077090,Rua Pitangui,Tatuapé
08143260,Rua Major Pompeu,Jardim Miriam
03587060,Rua Luís Percore,Cidade Líder
03892110,Rua Júlio Rodrigues da Silva,Jardim Ponte Rasa
03226010,Avenida José da Nóbrega Botelho,Jardim Avelino
04570120,Rua José Otaviano Soares,Brooklin Paulista
03195000,Rua do Oratório,Alto da Mooca
05036050,Rua Virgílio Wey,Água Branca
03214070,Praça Professor Mário Bulcão,Vila Califórnia
03447070,Rua Nuretama,Vila Carrão
05308050,Rua Padre Emílio Miotti,Vila Ribeiro de Barros
04612041,Avenida Barão do Rego Barros,Vila Congonhas
06820160,Rua Prudente de Moraes,Jardim Presidente Kennedy
03543120,Rua Jacuipe,Vila Guilhermina
04141050,Rua Fernando de Noronha,Chácara Inglesa
01213010,Largo General Osório,Santa Efigênia
04814195,Rua Doze de Outubro,Jardim Maria Rita
05038100,Rua Nicolau Perrone,Parque Residencial da Lapa
04755020,Rua La Paz,Santo Amaro
03631170,Praça Joaquim Alves,Guaiaúna
03244080,Rua Fava de Lobo,Jardim Guairaca
02612000,Rua Rosa dos Ventos,Vila Nova Cachoeirinha
05852440,Rua Durval Guerra de Azevedo,Parque Santo Antônio
01319030,Rua Japurá,Bela Vista
03127030,Praça Padre Mário Fontana,Parque da Mooca
04844610,Rua Sinfonia Italiana,Jardim São Bernardo
02464500,Avenida Imirim,Imirim
03450000,Avenida Itaquera,Parque Maria Luiza
03260010,Rua Ana César,Vila Cunha Bueno
02860110,Rua Joaquina Maria dos Santos,Vila Souza
05003050,Rua Teixeira e Sousa,Água Branca
02401400,Rua Voluntários da Pátria,Santana
08450560,Rua Gonçalo Lopes de Camargo,Jardim Fanganiello
02324090,Rua Sebastiana Nóbrega Donofre,Jardim Ataliba Leonel
02919040,Praça Domingos Bastos,Vila Pereira Barreto
04890480,Rua Orestes de Souza Figueiredo,Jardim Novo Parelheiros
03736000,Rua Entre-Rios,Vila Buenos Aires
04653200,Rua Engenheiro Dagoberto Salles Filho,Vila Inglesa
04918200,Rua Duitama,Jardim São Francisco(Zona Sul)
03480080,Avenida Arraias do Araguaia,Vila Nova York
04553003,Avenida dos Bandeirantes,Vila Olímpia
05281150,Rua José de Anchieta,Conjunto Residencial Morada do Sol
05781250,Rua Noanamá,Jardim São Januário
06296110,Rua Inácia Olímpia de Moraes,Remédios
04923000,Rua Água da Figueira,Riviera Paulista
03271000,Rua Paulo Pontes,Jardim Regina
05530090,Rua Antônio Adib Chammas,Instituto de Previdência
02806020,Rua Amaniutuba,Jardim Maristela
04318010,Praça Santa Adelaide,Cidade Vargas
03961020,Rua Joaquim Gouveia Franco,Cidade São Mateus
04476145,Rua Denis Furtel,Jardim das Laranjeiras (Zona Sul)
04951000,Avenida Peratuba,Cidade Ipava
03143002,Avenida Zelina,Vila Zelina
02312020,Rua Ibimirim,Vila Nova Mazzei
08111370,Rua Sargaço,Jardim Meliunas
04772110,Praça Maria Padilha Theodósio,Jardim Santa Helena
02520300,Avenida Casa Verde,Casa Verde
04437050,Rua Manuel Vaz,Jardim Consórcio
02866165,Rua Alfredo Pereira dos Santos,Vila Penteado
08140010,Praça Silva Teles,Itaim Paulista
03542120,Praça Nossa Senhora da Anunciação,Vila Guilhermina
02956040,Avenida Raimundo Pereira de Magalhães,Vila Mirante
03726110,Rua Antônio Roberto de Almeida,Engenheiro Goulart
03978250,Rua Leite Furtado,Jardim Adutora
08021250,Rua Jacinto de Melo,Vila Rosaria
04851803,Rua Joaquim Pires,Vila Narciso
08411220,Rua Porto do Una,Vila Aurea
02567010,Rua Alfredo Werner,Conjunto Habitacional Vila Nova Cachoeirinha
03685050,Rua Rebelo da Silva,Jardim São Nicolau
04154020,Rua Doutor Nestor Alberto de Macedo,Vila Santo Estéfano
03651060,Rua Tapari,Vila Esperança
04727030,Rua Albino Boldasso Gabril,Vila Cruzeiro
04741070,Rua Doutor Javert de Andrade,Jardim Santo Amaro
03952090,Rua Manoel da Mata Sá,Jardim Nove de Julho
02850100,Rua Santa Cruz da Conceição,Parque Belém
04040031,Rua Loefgren,Vila Clementino
03059005,Rua Júlio de Castilhos,Belenzinho
03006010,Rua Professor Eurípedes Simões de Paula,Brás
04360065,Rua da Bandeira,Vila Paulista
02936180,Praça Yara Yavelber,Vila Pereira Barreto
03376120,Rua General Oscar Carvalho,Chácara Belenzinho
04145011,Rua Catulo da Paixão Cearense,Vila da Saúde
04857520,Travessa Presidente Roberto Orti,Jardim Novo Horizonte
08275540,Rua Henrique Barcelos,Jardim Nossa Senhora do Carmo
