cep,logradouro,bairro
02464010,Rua Figueira da Foz,Imirim
03517000,Rua Antonieta de Morais,Vila Matilde
04162080,Rua do Pomar,Vila Moraes
08345330,Travessa Terras do Sul,Jardim da Conquista (Zona Leste)
04635052,Rua Itagyba Santiago,Vila Alexandria
02634030,Rua Marina Eston,Jardim Peri
08030040,Praça Francisco Pereira,Vila Curuçá
03254350,Rua Arroio Bonito,Vila São Nicolau
03519040,Rua Ataulfo de Paiva,Vila Euthalia
02188080,Rua Soldado Brasílio Pinto de Almeida,Parque Novo Mundo
04726260,Rua Coronel Adriano Machado,Vila Cruzeiro
08210380,Rua Nicolino Mastrocola,Vila Corberi
05061100,Rua Cerro Corá,Vila Romana
04858010,Rua Constelação do Esquadro,Jardim Campinas
02280040,Avenida Campos de Guaíra,Vila Nova Galvão
04433110,Rua Eduardo Fellone,Jardim Itapura
08150360,Rua Paulo Gonzaga da Silva,Jardim Robru
04601070,Rua Comendador Eduardo Saccab,Brooklin Paulista
04045004,Avenida Jabaquara,Mirandópolis
05794320,Rua Lázaro Borba,Jardim Paris
04005070,Praça Eisenhower,Paraíso
05527210,Rua Bernardo Buontalenti,Jardim Celeste
02228000,Rua Francisco Alves Bezerra,Parque Edu Chaves
03440060,Rua Taguatinga,Vila Nova Manchester
05763310,Rua Domingos Alves,Jardim Piracuama
04405120,Rua Gaspar da Cruz,Cidade Ademar
04550081,Rua Cabo Verde,Vila Olímpia
02261010,Rua Itza,Jardim Modelo
04087004,Alameda dos Anapurus,Indianópolis
03683150,Rua Engenheiro Carlo Grazia,Vila União (Zona Leste)
05038200,Rua Antônio Sarkis,Água Branca
04041052,Avenida Onze de Junho,Vila Clementino
02234010,Rua Capitão Alcook,Jardim Brasil (Zona Norte)
05792030,Rua Amacás,Jardim Leônidas Moreira
02968030,Rua Carlos Frias,Vila Miriam
03022040,Rua Manuel de Abreu,Alto do Pari
03523015,Praça Eufrosino da Conceição,Jardim Maringá
03679000,Rua João José de Queiroz,Vila São Francisco (Zona Leste)
02246000,Rua Elvira de Bortole,Vila Dom Pedro II
08032135,Travessa Caetano Calido,Vila Nova Curuçá
05436020,Rua Simpatia,Jardim das Bandeiras
05034000,Avenida Presidente Castelo Branco,Parque Residencial da Lapa
01423002,Rua José Maria Lisboa,Jardim Paulista
08110070,Rua Marapendi,Vila Simone
08220760,Rua Doutor Alexandre Melo Morais,Jardim Itapemirim
05758060,Rua Desembargador Alceu Cordeiro Fernandes,Jardim Pirajussara
05436050,Rua Luís Murat,Jardim das Bandeiras
04319010,Rua Santo Estácio,Cidade Vargas
04137040,Rua Virgílio Di Cicco,Bosque da Saúde
02945160,Rua República dos Palmares,Jardim Cidade Pirituba
03663000,Rua Nhatumani,Vila Ré
03558050,Rua Alves Maldonado,Vila Nhocune
04883300,Rua Miguel Guilguer Sobrinho,Jardim dos Álamos
01454000,Avenida Cidade Jardim,Jardim Paulistano
02134001,Rua Padre Sabóia de Medeiros,Vila Maria Alta
03649040,Rua Cumai,Vila Esperança
04476320,Rua da Saúde,Eldorado
08450380,Rua Professor Cosme Deodato Tadeu,Lajeado
04821100,Avenida Fernando Amaro Miranda,Jardim Colonial
02372090,Rua Mamud Rahd,Tremembé
03362040,Praça Comendador Tadashi Nishii,Vila Formosa
03552100,Praça Doutor Marcelo Tostes,Cidade Patriarca
05364060,Rua Dom Idílio José Soares,Jardim Ivana
04558090,Rua Capimirim,Brooklin Paulista
08030410,Rua Garopá,Vila Curuçá
03405050,Rua Alferes Frazão,Chácara Califórnia
01547000,Rua Cláudio Rossi,Jardim da Glória
08080500,Rua Justinópolis,Parque Paulistano
04514040,Rua Araguari,Vila Uberabinha
08210430,Rua Gregório Ramalho,Itaquera
05783110,Rua João Vertiz,Parque Flamengo
08245550,Rua José Vidal,Parada XV de Novembro
13170002,Rua Dom Barreto,Centro
02670090,Rua Antônio Nobre,Vila Dionisia
02212020,Rua Maraã,Vila Medeiros
01137000,Rua Cruzeiro,Barra Funda
04601010,Rua Assis Brasil,Brooklin Paulista
02365190,Rua Paxau,Jardim São João (Zona Norte)
05640000,Avenida Doutor Guilherme Dumont Vilares,Jardim Londrina
04307060,Rua Brasópolis,Vila Guarani (Z Sul)
05831120,Rua José Mármol,Chácara Santana
03154100,Avenida Professor Luiz Ignácio Anhaia Mello,Jardim Avelino
02262090,Travessa Maria Antônia Branconi,Jardim Modelo
05367000,Rua Narciso Freitas Vieira,Jardim dos Cataldis
04746100,Largo Bonneville,Santo Amaro
05664010,Rua das Jangadas,Paraisópolis
02259160,Rua Marcondes Buarque,Vila Constança
03204070,Rua José Jeraissati,Vila Alpina
01255030,Rua Cafelândia,Sumaré
04462020,Rua Martinho Afonso,Jardim da Pedreira
03086100,Rua Curituba,Parque São Jorge
05572100,Rua Mário Ancona,Parque Ipê
01538000,Avenida Lins de Vasconcelos,Cambuci
08191055,Rua Cochonilha,Jardim Margarida
04015013,Rua Joaquim Távora,Vila Mariana
04046000,Avenida Jabaquara,Mirandópolis
05048110,Praça Diogo do Amaral,Vila Romana
05894400,Rua Póvoa de Varzim,Jardim Macedônia
05686030,Rua Conde de Itaguaí,Real Parque
03102902,Avenida Alcântara Machado 884,Mooca
05821160,Rua Valdomiro dos Santos Pereira,Parque Santo Antônio
04157090,Rua Ibiaporã,Água Funda
03756010,Rua Duarte Leopoldo e Silva,Jardim Gonzaga
05305020,Rua Numa de Oliveira,Vila Hamburguesa
05387020,Rua Boris Alexandr,Vila Dalva
02177020,Rua Soldado Benedito Eliseu dos Santos,Parque Novo Mundo
03071110,Rua Urumajó,Tatuapé
02806060,Praça Luiza Mahin,Jardim Maristela
01331000,Alameda Ribeirão Preto,Bela Vista
02555050,Rua José Soriano de Sousa,Casa Verde Alta
05331000,Rua São Romão,Jaguaré
03470050,Avenida dos Pequis,Jardim Vila Formosa
04001002,Rua Manuel da Nóbrega,Paraíso
04330070,Rua dos Marapés,Vila Parque Jabaquara
04458180,Rua Bruno Taut,Jardim Sônia (Zona Sul)
01539010,Rua Gama Cerqueira,Cambuci
02166010,Rua Carlos José Michelon,Jardim Andaraí
04679000,Rua Júlia Santos Paiva Rio,Vila Santana
05857380,Rua Maria Clara da Silva Sant'Anna,Jardim Aurélio
05848130,Rua Padre Irineu Cursino de Moura,Jardim Germânia
05662020,Rua Major José Marioto Ferreira,Paraisópolis
04880270,Alameda Coqueiros,Recanto Campo Belo
04129030,Rua Dom Antônio de Alvarenga,Vila Gumercindo
04107001,Rua Gaspar Lourenço,Vila Mariana
04545002,Rua das Fiandeiras,Vila Olímpia
03671050,Rua Flor de Cera,Jardim Popular
03964040,Rua Vicente de Moura,Cidade São Mateus
08430853,Rua Aba,Jardim Moreno
14800250,Rua Domingos Zanin,Jardim Ártico
03589040,Rua José Taliberti,Conjunto Habitacional Padre José de Anchieta
02272000,Rua Roque de Paula Monteiro,Jaçanã
03938110,Rua Fidelândia,Jardim Paraguaçu
03928170,Rua Tomás de Santa Maria,Conjunto Habitacional Teotonio Vilela
04941020,Rua Seringal do Rio Verde,Parque Bologne
03163050,Praça Barão de Tietê,Belenzinho
04551065,Avenida Chedid Jafet,Vila Olímpia
05608000,Rua Araporé,Jardim Guedala
08475310,Rua Santa Flávia Domitila,Cidade Tiradentes
04016001,Rua França Pinto,Vila Mariana
04044040,Rua Primeiro de Março,Vila Clementino
08111230,Rua Colônia D'Assunção,Itaim Paulista
04716000,Rua Fernandes Moreira,Chácara Santo Antônio (Zona Sul)
08253070,Rua Antônio Bruni,Conjunto Residencial José Bonifácio
04053010,Rua Jacui,Saúde
03710065,Rua Uraí,Jardim Jaú (Zona Leste)
05872080,Rua Gagliano Netto,Jardim Soraia
03345010,Rua João Fialho de Carvalho,Vila Diva (Zona Leste)
03060000,Rua Pimenta Bueno,Chácara Tatuapé
04474250,Rua Juventino Tavares,Parque Doroteia
04863080,Rua Morango Natal,Vila Natal
02564000,Rua Lavinio Salles Arcuri,Casa Verde Alta
02765110,Rua Oswaldo Barbosa,Vila Hebe
05171350,Rua Francisco Henriques,Jardim Santa Mônica
02866150,Rua Mirangaoba,Vila Penteado
04522031,Rua Gaivota,Moema
05422070,Rua Bianchi Bertoldi,Pinheiros
03817010,Rua Barra de Santa Rosa,Parque Císper
03020055,Rua Doutor Milton Aldred,Catumbi
05401200,Avenida Rebouças,Cerqueira César
05780340,Rua Miguel Melo,Vila Prel
01513040,Rua Mituto Mizumoto,Liberdade
17490066,Avenida Julio Marcondes Salgado,Centro
04562070,Rua Andiroba,Brooklin Paulista
02562090,Rua Antônio Guedes,Vila Santa Maria
04003000,Rua Coronel Oscar Porto,Paraíso
05320030,Avenida Marginal Esquerda do Rio Pinheiros,Jaguaré
03823050,Rua Frei Jorge Cotrim,Vila Nova Teresa
05049000,Rua Catão,Vila Romana
05587000,Rua Edgar Machado Sant'ana,Jardim Rizzo
02874060,Rua Carlos Schumacker,Jardim dos Francos
02754000,Rua Silvério Gonçalves,Vila Maria Luisa
02409004,Rua Peres Júnior,Vila Vitório Mazzei
02844120,Rua Paulo Garcia Aquiline,Brasilândia
02361040,Rua Presidente Bartolomé Mitre,Associação Sobradinho
04843345,Rua Nicola Roselli,Jardim Itatiaia
05781140,Rua Antônio Barbato,Jardim Atlântico
04513100,Avenida Hélio Pellegrino,Vila Nova Conceição
05136070,Rua Francisco do Pilar,Jardim Santo Elias
08340320,Rua Marcos Gonçalves Correa,Jardim Vila Carrão
04857290,Rua Rio São José,Jardim Marilda
05417020,Rua Simão Álvares,Pinheiros
03401010,Rua Lopes Moreira,Tatuapé
05315021,Rua Aroaba,Vila Leopoldina
02274040,Travessa Miguel Santi,Jaçanã
03081020,Rua Maria Eleonora,Tatuapé
08460000,Estrada de Poá,Jardim Soares
03026000,Rua Silva Teles,Pari
08390542,Rua Santo Antônio,Jardim Santo André
05565085,Avenida Jurubatuba,Jardim Arpoador
08475170,Rua Moisés de Corena,Cidade Tiradentes
02758030,Rua Mendonça Uchoa,Vila Bancária Munhoz
02126010,Rua Alberto de Freitas,Vila Maria Alta
01445030,Rua Benedito Chaves,Jardim Paulistano
04236090,Rua Damas da Sociedade,Cidade Nova Heliópolis
05617000,Rua Pedro Gomes Cardim,Vila Progredior
03349050,Rua Piranji,Vila Invernada
02418030,Rua Otto Bender,Parque Mandaqui
04891130,Rua Sônia,Vila Roschel
03872000,Avenida Conrado Niemayer,Vila Rio Branco
06709015,Rodovia Raposo Tavares,Lageadinho
03818005,Praça Maria Teresa da Silva,Vila Cisper
05001100,Avenida Francisco Matarazzo,Água Branca
04430120,Rua Carlo Erb,Vila Missionária
08341360,Rua Antônio Assunção Ferreira,Parque Boa Esperança
04836500,Rua Luiz Rotta,Jardim Panorama (Zona Sul)
04853015,Avenida Carlos Barbosa Santos,Jardim Noronha
04844500,Rua Doutor Carlos Infanti Marques,Jardim São Bernardo
03161090,Rua Domingos Afonso,Vila Santa Clara
03590100,Rua Padre Tomás de Vilanova,Conjunto Habitacional Padre Manoel da Nóbrega
08410030,Rua Hipólito de Camargo,Vila Lourdes
05884010,Rua Geraldo Teixeira Machado,Jardim Bom Pastor
08310165,Avenida Sapopemba,Jardim Rodolfo Pirani
04960000,Estrada da Cachoeirinha,Parque Santa Bárbara
03818140,Rua Quinta do Sol,Parque Císper
08450420,Rua Vinte e Dois de Abril,Lajeado
03726190,Rua Álvaro Peres,Engenheiro Goulart
03968050,Rua Vasco Coutinho,Parque Colonial
02977100,Rua Jussiape,Vila Zat
04648282,Rua Conde Luiz Zunta,Jardim Los Angeles
05871240,Rua Carlos Severo,Jardim São Manoel
08011420,Rua Diego Calado,Vila São Silvestre (Zona Leste)
03105120,Rua Barão de Jaguara,Mooca
04173140,Rua Venâncio José Romão,Jardim Botucatu
03342003,Praça Professor Augusto Baillot,Vila Regente Feijó
01502001,Avenida da Liberdade,Liberdade
02168050,Praça Engenheiro Hugo Brandi,Jardim Andaraí
04332000,Travessa Carlos Chavez,Vila Campestre
08180660,Rua Verde,Jardim Pantanal
05315020,Rua Aroaba,Vila Leopoldina
03065050,Rua Martim Soares,Tatuapé
08220385,Avenida José Pinheiro Borges,Vila Campanela
08022130,Rua Elias Monteiro Cardoso,Vila Clara
01155080,Viaduto Pacaembu,Barra Funda
04704050,Rua Getúlio Soares da Rocha,Jardim das Acácias
02935010,Rua Pedro Paulo,Vila Bonilha
03034050,Rua Azurita,Canindé
03561060,Rua Alto Araguaia,Vila Nhocune
02180110,Rua Soldado Teodoro Francisco Ribeiro,Parque Novo Mundo
05423060,Rua Pero Leão,Pinheiros
05321010,Avenida Engenheiro Billings,Jaguaré
05524000,Rua Caminho do Engenho,Ferreira
04316090,Praça Nova América,Vila Guarani (Z Sul)
08475470,Rua Miguel João de Castro,Cidade Tiradentes
02044110,Rua Antônio Guganis,Jardim São Paulo(Zona Norte)
03266160,Rua Osvaldo Alves Rocha,Parque Residencial Oratorio
02441090,Rua Doutor Paulo Meirelles,Lauzane Paulista
03912310,Rua Sylvio Pesseti,Vila Rica
04145000,Rua dos Caciques,Vila da Saúde
02318450,Travessa Mata de Pinheiros,Vila Zilda (Zona Norte)
03733000,Avenida Tarumã,Vila Pierina
01534010,Rua Francisco Justino de Azevedo,Aclimação
03071030,Rua Brejal,Tatuapé
04416020,Rua Gomes de Amorim,Jardim Miriam
04632011,Rua Vapabussu,Jardim Aeroporto
05549260,Rua Basilide,Jardim das Esmeraldas
05006030,Rua Doutor Alberto Torres,Perdizes
08330050,Rua Pires Caleiro,Jardim Vera Cruz(Zona Leste)
03651160,Rua André Francisco,Vila Esperança
04692000,Rua Professora Maria de Lourdes de S. Nogueira,Vila Gea
01408020,Rua Cravinhos,Jardim Paulista
08472430,Rua Arroio Pirajuí,Conjunto Habitacional Inácio Monteiro
08470795,Rua Dante Alderigo,Jardim Santa Etelvina
